symbol,_J,_U
SZ300846,-0.0,-0.0
SZ300840,-0.0,-0.0
SZ300847,-0.0,-0.0
SZ300843,-0.0,-0.0
SZ300845,-0.0,-0.0
SZ300501,-0.0,-0.0
SH603976,0.0,0.0
SZ300464,-0.0,-0.0
SZ300850,-0.0,0.0
SZ300849,-0.0,-0.0
SZ300848,-0.0,-0.0
SZ300123,0.0,-0.0
SZ002239,0.0,-0.0
SZ300314,-3.866828087167,-2.572916666667
SZ300489,0.0,-0.0
SZ300013,-0.0,-0.0
SZ000516,-0.0,-0.0
SZ300839,0.0,-0.0
SZ002428,-0.0,-0.0
SH603128,-0.0,-0.0
SZ300648,0.0,-0.0
SH603026,-0.0,-0.0
SZ002803,0.0,0.0
SZ300083,0.0,0.0
SZ002283,-0.0,-0.0
SH603429,-0.0,-0.0
SH600223,0.0,-0.0
SZ002285,0.0,0.0
SZ000830,-0.0,-0.0
SZ300086,-0.0,-0.0
SZ002026,-0.0,-0.0
SZ002585,-0.0,-0.0
SZ300030,0.0,0.0
SZ300740,-0.0,-0.0
SZ300465,0.0,-0.0
SZ300206,0.0,0.0
SZ000576,0.0,-0.0
SZ300612,-0.0,-0.0
SZ300855,-0.0,-0.0
SZ002977,0.0,0.0
SZ300064,-0.0,-0.0
SZ300366,0.0,0.0
SZ002425,0.0,0.0
SZ300202,0.0,-0.0
SZ002163,-0.0,-0.0
SZ002918,0.0,0.0
SZ002191,0.0,-0.0
SZ000411,0.0,0.0
SZ300620,-0.0,-0.0
SZ300719,0.0,-0.0
SH600273,0.0,0.0
SZ300663,-0.0,-0.0
SZ300737,0.0,-0.0
SZ300008,-0.0,-0.0
SZ002237,0.0,-0.0
SH601222,-0.0,-0.0
SH603416,-0.0,0.0
SZ300010,0.0,0.0
SZ300185,0.0,-0.0
SZ300484,-0.0,0.0
SZ300224,-0.384769539078,-1.366447180074
SZ002366,-0.0,-0.0
SZ300117,-0.0,0.0
SZ000913,-0.0,-0.0
SZ002838,0.0,-0.0
SZ002400,0.0,-0.0
SZ300556,-0.0,-0.0
SZ300507,-0.0,-0.0
SZ300390,0.0,-0.0
SZ300693,-0.0,-0.0
SZ002335,-0.0,-0.0
SZ300358,0.0,0.0
SZ300690,-0.0,0.0
SZ300561,-0.0,-0.0
SH600496,0.0,-0.0
SZ300611,-0.0,-0.0
SZ300027,0.0,-0.0
SZ300443,0.0,-0.0
SH600418,-0.0,-0.0
SH603606,0.0,-0.0
SZ300853,-0.0,-0.0
SZ300138,-0.0,0.0
SH600711,0.0,-0.0
SZ300048,-0.0,-0.0
SZ002810,0.0,-0.0
SZ300386,0.0,-0.0
SZ300200,0.0,-0.0
SZ300831,-0.0,-0.0
SZ002334,-0.0,-0.0
SZ300668,-0.0,-0.0
SZ300208,0.0,0.0
SH600559,-0.0,-0.0
SZ300192,0.0,0.0
SZ002240,-1.025835866261,-2.841668969329
SZ300658,-0.0,-0.0
SZ002055,-0.0,-0.0
SH600720,0.0,0.0
SH600456,-0.0,-0.0
SH603776,-0.0,-0.0
SZ002664,0.0,0.0
SZ300131,-0.0,-0.0
SZ300180,0.0,-0.0
SZ300797,-0.0,-0.0
SZ002581,-0.0,0.0
SZ300828,-0.0,-0.0
SZ300466,-0.0,-0.0
SZ300068,0.0,-0.0
SZ300447,-0.0,-0.0
SH600409,-0.0,-0.0
SZ300267,-0.0,0.0
SZ300400,-0.0,-0.0
SZ300225,-0.0,0.0
SZ300397,0.0,-0.0
SZ002662,-0.0,-0.0
SZ000519,0.0,-0.0
SZ300485,0.0,0.0
SZ002701,-0.0,-0.0
SZ300054,0.0,0.0
SZ300576,0.0,0.0
SZ300096,-0.0,-0.0
SZ300578,-1.933235867446,-3.902901590631
SZ300101,-0.0,-0.0
SZ002416,0.0,-0.0
SZ300671,0.0,0.0
SZ300581,-0.0,0.0
SZ300394,-0.0,-0.0
SZ300034,-0.0,-0.0
SZ300810,-0.0,-0.0
SZ300346,0.0,0.0
SZ300460,-0.0,-0.0
SZ000789,1.084137931034,0.440910612655
SZ300339,0.0,0.0
SZ300318,-0.0,0.0
SZ002567,0.0,0.0
SZ300820,-0.0,-0.0
SZ300092,-0.0,-0.0
SZ300446,-0.0,-0.0
SZ300471,-0.0,-0.0
SZ002829,-0.0,-0.0
SZ002518,0.0,-0.0
SZ002214,-0.0,-0.0
SZ300317,-0.0,-0.0
SZ300527,0.0,-0.0
SZ002126,0.0,-0.0
SZ002245,-0.0,0.0
SZ300715,0.0,-0.0
SZ300593,-0.0,-0.0
SZ300721,0.0,-0.0
SZ300567,0.0,0.0
SZ300129,-0.0,-0.0
SH600993,-0.0,-0.0
SZ300280,-0.0,-0.0
SZ300395,0.0,-0.0
SZ300667,-0.0,-0.0
SZ300377,0.0,-0.0
SZ300526,0.0,0.0
SZ002169,0.0,0.0
SZ300448,-0.0,-0.0
SH600197,0.0,-0.0
SH600861,-0.0,-0.0
SZ300162,-0.0,-0.0
SZ000920,-0.0,-0.0
SZ300385,-0.0,0.0
SZ300520,-0.0,-0.0
SZ300429,0.0,-0.0
SZ002835,-0.0,-0.0
SZ300002,0.0,-0.0
SZ300589,-0.0,0.0
SZ300155,-0.0,0.0
SZ000550,0.0,0.0
SZ300286,-0.0,-0.0
SZ300217,-2.673267326733,-2.219561688312
SZ300453,0.0,0.0
SZ300722,-0.0,0.0
SZ300562,-0.0,-0.0
SZ002623,-0.0,0.0
SZ300087,-0.0,-0.0
SZ300265,-0.0,-0.0
SZ300769,-0.0,-0.0
SZ002524,-1.823575949367,-0.013852813853
SZ300173,-0.0,-0.0
SZ300718,-0.0,-0.0
SZ002312,-0.0,-0.0
SZ002396,0.0,0.0
SH600702,-0.0,-0.0
SZ300102,0.0,0.0
SH603533,-0.0,-0.0
SZ000688,0.0,0.0
SZ300063,-0.0,-0.0
SZ300046,0.0,-0.0
SZ300139,0.0,-0.0
SZ300518,-0.0,0.0
SZ300239,-0.0,-0.0
SH600206,-0.0,-0.0
SH603035,-0.0,-0.0
SZ300160,-0.0,-0.0
SZ300301,0.0,-0.0
SZ300370,0.0,-0.0
SZ002531,0.0,-0.0
SZ300666,0.0,-0.0
SZ300242,-0.0,-0.0
SZ300717,-0.0,-0.0
SZ300035,-0.0,-0.0
SZ300537,0.0,-0.0
SZ300283,-0.0,-0.0
SZ300367,-0.0,-0.0
SH603825,-0.0,-0.0
SZ002617,0.0,-0.0
SZ300830,-0.0,-0.0
SH600410,0.0,0.0
SZ002326,0.0,0.0
SZ300569,0.0,-0.0
SZ300325,0.0,-0.0
SZ002669,-0.0,-0.0
SZ300228,-0.0,-0.0
SZ300432,-0.0,-0.0
SZ002100,0.0,-0.0
SZ300680,-0.0,-0.0
SZ300176,-0.0,-0.0
SZ300342,0.0,-0.0
SZ300353,-0.0,-0.0
SZ300541,-0.0,-0.0
SZ300772,-0.0,-0.0
SZ300786,-0.0,-0.0
SZ002487,-0.0,-0.0
SZ002768,0.0,0.0
SZ002975,-0.0,0.0
SZ002023,0.0,-0.0
SZ300368,0.0,0.0
SZ002637,0.0,-0.0
SZ300807,-0.0,-0.0
SZ300568,-0.0,-0.0
SZ300221,-0.0,-0.0
SZ300647,-0.0,-0.0
SZ002677,-0.0,-0.0
SZ300095,-0.0,-0.0
SZ002497,-3.845622119816,-0.024229902329
SZ300703,0.0,-0.0
SZ300333,-0.0,-0.0
SZ300532,-0.0,-0.0
SZ002982,0.0,0.0
SZ300438,-0.0,-0.0
SZ300420,-0.0,-0.0
SZ300109,-0.0,-0.0
SZ300424,-0.0,-0.0
SZ300297,-0.0,-0.0
SZ300099,0.0,-0.0
SZ002407,-0.0,-0.0
SZ300785,0.0,-0.0
SZ300490,-0.0,-0.0
SZ300343,-0.0,-0.0
SZ300040,-0.0,-0.0
SZ002217,0.0,0.0
SZ300036,-0.0,-0.0
SZ300639,0.0,-0.0
SZ300572,0.0,0.0
SZ000155,-1.557915057915,-1.513147965403
SZ300687,-0.0,-0.0
SZ300673,0.0,0.0
SZ002318,-0.0,-0.0
SZ300393,-0.0,0.0
SZ300007,-0.0,-0.0
SZ300591,-0.0,-0.0
SZ000887,0.0,-0.0
SZ300664,-0.0,-0.0
SZ300554,-0.0,-0.0
SZ300765,-1.459537572254,-1.557872034508
SZ002970,-0.0,-0.0
SZ300707,-0.0,-0.0
SZ002317,0.0,0.0
SZ300141,-0.0,-0.0
SH601606,0.0,-0.0
SZ300638,0.0,-0.0
SZ300516,-0.0,-0.0
SZ300350,-4.203274215553,-2.904761904762
SZ300360,-0.0,-0.0
SZ300411,-0.0,-0.0
SZ300276,-0.0,-0.0
SZ300708,0.0,-0.0
SZ300670,-0.0,-0.0
SZ002322,0.0,0.0
SZ300210,-0.0,-0.0
SH600742,-0.0,-0.0
SZ300170,0.0,-0.0
SZ300100,-0.0,-0.0
SZ300080,-0.0,-0.0
SZ300312,-0.0,-0.0
SH600110,-0.0,-0.0
SZ300409,-0.0,-0.0
SZ300678,-0.0,-0.0
SZ002276,0.0,-0.0
SZ300047,-0.0,-0.0
SZ002139,-0.0,0.0
SH600882,0.0,0.0
SZ300410,-0.0,-0.0
SZ300303,0.0,0.0
SZ300222,-0.0,-0.0
SZ300402,-0.0,-0.0
SZ300542,-0.0,0.0
SZ300278,-0.0,-0.0
SZ300231,-0.0,-0.0
SZ300326,0.0,0.0
SZ300805,-0.0,-0.0
SZ300287,-0.0,-0.0
SZ002618,0.0,0.0
SZ300356,-0.0,-0.0
SZ300127,-0.0,-0.0
SZ300626,-0.0,-0.0
SZ300711,-0.0,0.0
SZ300182,0.0,0.0
SZ300435,-0.0,-0.0
SZ002417,-0.0,-0.0
SZ300247,0.0,-0.0
SZ300468,-0.0,-0.0
SH603919,-0.0,0.0
SZ300177,-0.0,-0.0
SZ300365,-0.0,-0.0
SZ300479,-0.0,-0.0
SZ300727,-0.0,-0.0
SZ300230,-0.0,-0.0
SZ300079,-0.0,-0.0
SH603387,-0.0,0.0
SZ300310,-0.0,-0.0
SZ300337,0.0,-0.0
SZ300632,-0.0,-0.0
SZ300240,-2.739678899083,-1.535895461269
SZ300491,-0.0,-0.0
SZ300018,-0.0,-0.0
SZ300467,-0.0,-0.0
SZ300819,-0.0,0.0
SZ300043,-0.0,-0.0
SZ300477,0.0,-0.0
SZ300547,-0.0,-0.0
SZ300610,-0.0,-0.0
SZ300128,0.0,-0.0
SZ300077,-0.0,-0.0
SZ300112,-0.0,-0.0
SZ300044,-0.0,-0.0
SZ300519,-0.0,-0.0
SZ300826,-0.0,-0.0
SZ300713,-0.0,0.0
SZ300091,-0.0,-0.0
SZ300194,-1.552671755725,-1.779212940608
SZ300181,-0.0,-0.0
SH603557,-0.0,-0.0
SZ300032,-2.314338235294,-1.530922602517
SZ300493,-0.0,-0.0
SZ300586,-0.0,-0.0
SZ300272,-0.0,-0.0
SZ000813,-0.275806451613,-1.072890818859
SZ000922,-0.0,-0.0
SH601163,-0.0,-0.0
SH600761,-0.0,0.0
SH603313,-0.0,-0.0
SZ300414,-3.586133333333,-1.650112599265
SZ300510,0.0,-0.0
SZ300269,-0.0,-0.0
SZ300636,0.0,0.0
SZ002114,-0.0,-0.0
SH600260,-0.0,-0.0
SZ300292,-0.0,-0.0
SZ002362,-0.0,-0.0
SZ300857,-0.0,-0.0
SZ300514,-0.0,-0.0
SZ300419,-0.0,-0.0
SZ300147,-0.0,-0.0
SH603686,0.0,-0.0
SZ300629,-0.0,-0.0
SZ300585,-0.0,-0.0
SZ300821,-0.0,-0.0
SZ300201,-0.0,-0.0
SZ300499,-0.0,-0.0
SZ300412,-0.0,0.0
SZ300428,-1.657045840407,-1.702913279133
SZ002759,-0.0,0.0
SH600141,-0.0,-0.0
SZ002108,0.0,-0.0
SZ300163,-0.0,-0.0
SZ300237,-0.0,-0.0
SZ300304,-0.0,-0.0
SZ300179,-0.0,-0.0
SZ300644,-0.0,-0.0
SZ300555,-0.0,-0.0
SZ300284,0.0,-0.0
SZ300444,-0.0,-0.0
SZ300320,-3.306918238994,-1.174770965469
SZ300130,0.0,-0.0
SZ300311,-0.0,-0.0
SZ300540,-0.0,-0.0
SZ300184,-0.0,-0.0
SH600158,-0.0,-0.0
SH603050,-0.0,-0.0
SH601311,-0.0,-0.0
SZ002087,-0.0,-0.0
SZ300158,-0.0,-0.0
SH600006,-0.0,-0.0
SZ300329,-0.0,-0.0
SZ300375,-0.0,-0.0
SZ300189,0.0,-0.0
SZ300549,-4.841649694501,-2.150510810169
SZ300057,-0.0,-0.0
SZ300107,-0.0,-0.0
SZ300469,-0.0,-0.0
SZ300295,-0.0,-0.0
SZ300038,-0.0,-0.0
SH600573,-0.0,-0.0
SZ300712,-0.0,-0.0
SZ300288,-0.0,-0.0
SZ300781,-0.0,-0.0
SZ300421,-0.0,-0.0
SZ300615,-3.016891891892,-1.733546480063
SZ300094,-0.0,-0.0
SZ300004,-0.0,-0.0
SZ300597,-0.0,-0.0
SZ300594,-0.0,-0.0
SH601339,-0.0,0.0
SZ300582,-0.0,-0.0
SZ002196,-0.0,-0.0
SZ300732,-0.0,-0.0
SZ300066,-0.0,-0.0
SZ300062,-0.0,0.0
SZ300313,0.0,-0.0
SZ002154,-0.0,-0.0
SZ300279,-0.0,-0.0
SZ002254,0.0,-0.0
SZ300780,-0.0,-0.0
SZ300153,-0.0,-0.0
SZ300422,0.0,0.0
SZ300503,-2.174079387853,0.026627139919
SZ300355,0.0,-0.0
SH600094,0.0,0.0
SZ300588,-0.0,-0.0
SZ300811,-2.641660415104,-1.589852735108
SZ300817,-0.0,-0.0
SH600448,-0.0,-0.0
SZ300798,-0.0,-0.0
SZ300067,-0.0,-0.0
SZ300407,-0.0,-0.0
SZ300335,-0.0,-0.0
SH600363,-0.0,0.0
SZ002144,-0.0,-0.0
SZ300110,-1.818035426731,-2.307472617142
SZ300150,-1.620338983051,-0.875387214869
SZ300808,-3.485172981878,-1.492660550459
SZ300349,0.0,-0.0
SZ002132,-0.0,0.0
